city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tenala,60.0583,23.3000,Finland,FI,Uusimaa,,2991,2991
Keikyä,61.2718,22.7025,Finland,FI,Pirkanmaa,,2977,2977
Ylihärmä,63.1417,22.7917,Finland,FI,Etelä-Pohjanmaa,,2960,2960
Varpaisjärvi,63.3583,27.7583,Finland,FI,Pohjois-Savo,,2952,2952
Vaala,64.5500,26.8333,Finland,FI,Kainuu,minor,2941,2941
Nummi,60.3917,23.8833,Finland,FI,Uusimaa,,2915,2915
Ruotsinpyhtää,60.5250,26.4667,Finland,FI,Uusimaa,,2895,2895
Mouhijärvi,61.5125,23.0083,Finland,FI,Pirkanmaa,,2894,2894
Reisjärvi,63.6050,24.9333,Finland,FI,Pohjois-Pohjanmaa,minor,2894,2894
Utajärvi,64.7500,26.4167,Finland,FI,Pohjois-Pohjanmaa,minor,2861,2861
Perho,63.2167,24.4167,Finland,FI,Keski-Pohjanmaa,minor,2860,2860
Kuorevesi,61.8500,24.7833,Finland,FI,Keski-Suomi,,2819,2819
Teisko,61.6732,23.8479,Finland,FI,Pirkanmaa,,2816,2816
Puolanka,64.8681,27.6708,Finland,FI,Kainuu,minor,2776,2776
Lappträsk,60.6167,26.2000,Finland,FI,Uusimaa,minor,2774,2774
Kuru,61.8769,23.7250,Finland,FI,Pirkanmaa,,2759,2759
Kiikka,61.3208,22.7754,Finland,FI,Pirkanmaa,,2698,2698
Kaavi,62.9750,28.4833,Finland,FI,Pohjois-Savo,minor,2689,2689
Köyliö,61.1186,22.3075,Finland,FI,Satakunta,minor,2647,2647
Kiihtelysvaara,62.4931,30.2514,Finland,FI,Pohjois-Karjala,,2635,2635
Vuolijoki,64.1833,26.9972,Finland,FI,Kainuu,,2632,2632
Karkku,61.4183,23.0131,Finland,FI,Pirkanmaa,,2625,2625
Kylmäkoski,61.1500,23.6917,Finland,FI,Pirkanmaa,,2612,2612
Tuusniemi,62.8083,28.4917,Finland,FI,Pohjois-Savo,minor,2597,2597
Sulkava,61.7833,28.3667,Finland,FI,Etelä-Savo,minor,2588,2588
Hartola,61.5833,26.0167,Finland,FI,Päijät-Häme,minor,2574,2574
Översundom,63.0325,21.5464,Finland,FI,Pohjanmaa,,2530,2530
Finström,60.2333,19.9917,Finland,FI,Åland,,2522,2522
Konnevesi,62.6283,26.2833,Finland,FI,Keski-Suomi,minor,2521,2521
Evijärvi,63.3667,23.4750,Finland,FI,Etelä-Pohjanmaa,minor,2499,2499
Kärsämäki,63.9750,25.7583,Finland,FI,Pohjois-Pohjanmaa,minor,2474,2474
Alavieska,64.1667,24.3083,Finland,FI,Pohjois-Pohjanmaa,minor,2447,2447
Toivakka,62.1000,26.0833,Finland,FI,Keski-Suomi,minor,2431,2431
Karinainen,60.6667,22.7667,Finland,FI,Varsinais-Suomi,,2425,2425
Ypäjä,60.8083,23.2833,Finland,FI,Kanta-Häme,minor,2411,2411
Keitele,63.1783,26.3500,Finland,FI,Pohjois-Savo,minor,2379,2379
Himanka,64.0583,23.6500,Finland,FI,Keski-Pohjanmaa,,2378,2378
Muonio,67.9583,23.6833,Finland,FI,Lappi,minor,2358,2358
Rääkkylä,62.3133,29.6250,Finland,FI,Pohjois-Karjala,minor,2349,2349
Valtimo,63.6800,28.8167,Finland,FI,Pohjois-Karjala,minor,2324,2324
Pomarkku,61.6917,22.0083,Finland,FI,Satakunta,minor,2240,2240
Karvia,62.1333,22.5583,Finland,FI,Satakunta,minor,2240,2240
Hirvensalmi,61.6417,26.7833,Finland,FI,Etelä-Savo,minor,2236,2236
Koski Tl,60.6550,23.1417,Finland,FI,Varsinais-Suomi,minor,2227,2227
Soini,62.8750,24.2083,Finland,FI,Etelä-Pohjanmaa,minor,2224,2224
Puumala,61.5250,28.1833,Finland,FI,Etelä-Savo,minor,2208,2208
Vesanto,62.9333,26.4167,Finland,FI,Pohjois-Savo,minor,2191,2191
Humppila,60.9250,23.3667,Finland,FI,Kanta-Häme,minor,2161,2161
Pyhäranta,60.9500,21.4417,Finland,FI,Varsinais-Suomi,minor,2136,2136
Kuhmoinen,61.5667,25.1833,Finland,FI,Keski-Suomi,minor,2119,2119
Hämeenkoski,61.0250,25.1500,Finland,FI,Päijät-Häme,minor,2104,2104
Hyrynsalmi,64.6750,28.4917,Finland,FI,Kainuu,minor,2094,2094
Miehikkälä,60.6667,27.7000,Finland,FI,Kymenlaakso,minor,2085,2085
Lumijoki,64.8367,25.1867,Finland,FI,Pohjois-Pohjanmaa,minor,2081,2081
Marttila,60.5833,22.9000,Finland,FI,Varsinais-Suomi,minor,2028,2028
Korsnäs,62.7833,21.1833,Finland,FI,Pohjanmaa,minor,2024,2024
Lemland,60.0700,20.0867,Finland,FI,Åland,minor,1991,1991
Pukkila,60.6450,25.5833,Finland,FI,Uusimaa,minor,1971,1971
Myrskylä,60.6667,25.8500,Finland,FI,Uusimaa,minor,1969,1969
Tarvasjoki,60.5833,22.7333,Finland,FI,Varsinais-Suomi,minor,1958,1958
Lavia,61.6000,22.5833,Finland,FI,Satakunta,minor,1890,1890
Jämijärvi,61.8167,22.6917,Finland,FI,Satakunta,minor,1867,1867
Enontekiö,68.3847,23.6389,Finland,FI,Lappi,minor,1861,1861
Isojoki,62.1139,21.9583,Finland,FI,Etelä-Pohjanmaa,minor,1852,1852
Honkajoki,61.9931,22.2639,Finland,FI,Satakunta,minor,1793,1793
Kihniö,62.2083,23.1792,Finland,FI,Pirkanmaa,minor,1771,1771
Pertunmaa,61.5028,26.4792,Finland,FI,Etelä-Savo,minor,1739,1739
Rautavaara,63.4950,28.3000,Finland,FI,Pohjois-Savo,minor,1698,1698
Multia,62.4083,24.7950,Finland,FI,Keski-Suomi,minor,1636,1636
Taivassalo,60.5617,21.6083,Finland,FI,Varsinais-Suomi,minor,1633,1633
Tervo,62.9556,26.7556,Finland,FI,Pohjois-Savo,minor,1608,1608
Pyhäntä,64.1000,26.3333,Finland,FI,Pohjois-Pohjanmaa,minor,1587,1587
Kinnula,63.3667,24.9667,Finland,FI,Keski-Suomi,minor,1554,1554
Hammarland,60.2167,19.7333,Finland,FI,Åland,minor,1537,1537
Siikainen,61.8833,21.8167,Finland,FI,Satakunta,minor,1476,1476
Oripää,60.8556,22.6972,Finland,FI,Varsinais-Suomi,minor,1377,1377
Godby,60.2300,19.9881,Finland,FI,Åland,minor,1369,1369
Enonkoski,62.0917,28.9333,Finland,FI,Etelä-Savo,minor,1341,1341
Ristijärvi,64.5050,28.2167,Finland,FI,Kainuu,minor,1317,1317
Kannonkoski,62.9750,25.2667,Finland,FI,Keski-Suomi,minor,1269,1269
Kaskinen,62.3667,21.2500,Finland,FI,Pohjanmaa,minor,1256,1256
Utsjoki,69.9000,27.0167,Finland,FI,Lappi,minor,1242,1242
Karijoki,62.3083,21.7083,Finland,FI,Etelä-Pohjanmaa,minor,1200,1200
Kyyjärvi,63.0500,24.5633,Finland,FI,Keski-Suomi,minor,1196,1196
Merijärvi,64.2967,24.4467,Finland,FI,Pohjois-Pohjanmaa,minor,1134,1134
Kivijärvi,63.1200,25.0750,Finland,FI,Keski-Suomi,minor,1064,1064
Savukoski,67.2917,28.1667,Finland,FI,Lappi,minor,1061,1061
Halsua,63.4633,24.1667,Finland,FI,Keski-Pohjanmaa,minor,1052,1052
Hailuoto,65.0167,24.7167,Finland,FI,Pohjois-Pohjanmaa,minor,993,993
Pelkosenniemi,67.1083,27.5167,Finland,FI,Lappi,minor,958,958
Kustavi,60.5467,21.3583,Finland,FI,Varsinais-Suomi,minor,950,950
Eckerö,60.2167,19.5500,Finland,FI,Åland,minor,935,935
Lestijärvi,63.5250,24.6667,Finland,FI,Keski-Pohjanmaa,minor,798,798
Luhanka,61.8000,25.7000,Finland,FI,Keski-Suomi,minor,761,761
Föglö,60.0306,20.3875,Finland,FI,Åland,minor,561,532
Geta,60.3750,19.8500,Finland,FI,Åland,minor,495,495
Vårdö,60.2417,20.3750,Finland,FI,Åland,minor,441,441
Kumlinge,60.2583,20.7783,Finland,FI,Åland,minor,317,317
Sottunga,60.1333,20.6667,Finland,FI,Åland,minor,92,92
Nummela,60.3333,24.3333,Finland,FI,Uusimaa,minor,,
Parola,61.0529,24.3667,Finland,FI,Kanta-Häme,minor,,
Juva,60.8667,23.0000,Finland,FI,Varsinais-Suomi,minor,,
Siltakylä,60.4958,26.7097,Finland,FI,Kymenlaakso,minor,,
Vääksy,61.1722,25.5472,Finland,FI,Päijät-Häme,minor,,
Bennäs,63.6000,22.7917,Finland,FI,Pohjanmaa,minor,,
Ödkarby,60.3073,19.9862,Finland,FI,Åland,minor,,
Kyrö,60.7024,22.7577,Finland,FI,Varsinais-Suomi,minor,,
Vinkkilä,60.6833,21.7167,Finland,FI,Varsinais-Suomi,minor,,
Dalsbruk,60.0333,22.5167,Finland,FI,Varsinais-Suomi,minor,,
Björby,60.2572,20.1342,Finland,FI,Åland,minor,,
Korkeakoski,61.8000,24.3667,Finland,FI,Pirkanmaa,minor,,
Taavetti,60.9167,27.5667,Finland,FI,Etelä-Karjala,minor,,
Åva,60.4667,21.0833,Finland,FI,Åland,minor,,
Karlby,59.9167,20.9000,Finland,FI,Åland,minor,,
Pyhäsalmi,63.6586,26.0411,Finland,FI,Pohjois-Pohjanmaa,minor,,
Polvijärvi,62.4167,28.3333,Finland,FI,Etelä-Savo,minor,,
Pulkkila,64.2667,25.8667,Finland,FI,Pohjois-Pohjanmaa,minor,,
